Product_name,Rating,Price,Discount_rate,Customer_reviews,Category,Sub_Category
4 Pcs Men Perfume Set Perfumes Different Fragrances Long Lasting Business Eau de Parfum Classic Flowers Deodorants Gift,4.5,999.0,47% off,2923 Customer reviews,Beauty,Fragrance
[Promotion] USB Electric Hair Cutting Machine Rechargeable Hair Clipper Man Shaver Trimmer Barber Professional Beard Trimmer Julie Fashion Store,4.4,367.0,(-54%),2782 Customer reviews,Hair Cutting Tools,Hair Clippers & Trimmers
(Clearance Price)RichRipple Vintage T9 Hair cutting machine Hair Clipper Professional Electric Shaver Trimmer for men Machine Shaving Trimmer Beard USB,4.5,367.0,(-81%),1445 Customer reviews,Hair Cutting Tools,Hair Clippers & Trimmers
2 In 1 Curling Iron Hair Straightener Flat Iron Straightening Irons Hair Styling Tools Hair Beauty,4.4,859.0,(-70%),1775 Customer reviews,Hair Styling Tools & Appliances,Hair Straighteners
2 in 1 Hot Comb Straightener Electric Hair Straightener Hair Curler Wet Dry Use Hair Flat Irons Hot Heating Comb For Hair,4.3,898.0,53% off,1540 Customer reviews,Hair Styling Tools & Appliances,Hair Combs
KEMEI Rechargeable Hair Clipper Hair Cutting Men Waterproof Electric Shaver Hair Trimmer Tools Shaving Machine,4.3,889.0,(-77%),1395 Customer reviews,Men's,Electric Shavers
Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,4.7,999.0,29% off,1368 Customer reviews,Face,Cleansers
30ml * 3 Bottle 3pcs Ladies Perfumes Eau De Parfum Floral Fragrances Long Lasting Deodorants,4.4,688.0,47% off,1544 Customer reviews,Beauty,Fragrance
FBK Women Hair Ladies Body Wave Black Long Curly Synthetic Wigs For Women Gift,4.4,599.0,(-70%),1308 Customer reviews,Wigs,Other Wigs
13Pcs Makeup Brushes Set Foundation Powder Eyeshadow Concealer Blending Makeup brush set Beauty Tool with Bag New Arrival,4.3,279.0,(-60%),986 Customer reviews,Beauty,Make Up Tool & Accessories
4 PCS Ladies Perfume Set Eau De Parfum Gift Box Perfumes Long Lasting Light Fragrance Women Perfume Fresh Woody Floral Notes,4.5,999.0,50% off,760 Customer reviews,Beauty,Fragrance
3 in1 Women Electric Eyebrow Trimmer Mini Eye Brow Epilator Facial Hair Removal USB Charging Portable Women Painless Razor Shaver Tool,4.3,579.0,(-42%),391 Customer reviews,Women's,"Epilators, Groomers & Trimmers"
